source,target,type
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,d275f7ee-cdbf-4f79-87ea-579fe882805a,RELATIVE
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,8d932b86-9392-41fa-9107-18d4de6055ec,RELATIVE
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,fbe787e7-f310-42a3-a02b-6061a333a575,RELATIVE
ac75b839-5c59-47f5-a75d-313b87c61925,69f54f6e-b2c3-4f98-9731-e4fdd8378323,RELATIVE
d96be67a-a455-45c1-bc44-d99af20b8629,19c1cd75-f89d-4b35-aace-70be71f02744,RELATIVE
7612cca2-e740-4606-a823-a6ae7a699e22,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
b1fa175b-5425-4b12-9a39-e6adff1fd0a9,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
51b6a301-e57c-48fb-950b-f37e3f19ecda,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
682f57bc-9422-43db-9406-224cda3735fc,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
84e21ea4-8f4e-404b-8be2-d4742cf14100,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
1b838aa2-c05e-4a85-aaed-b5ffda25cdb5,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
51db3028-6637-42ec-bf24-f249b12a2b40,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
54ef7a3c-cc94-46a3-a575-b90e45ccdc31,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,33010f8d-9c11-4150-afc3-60eb99228c74,ALLY
d4817141-b660-4e4b-881f-7db1d7b6951a,33010f8d-9c11-4150-afc3-60eb99228c74,ENEMY
37c44eeb-b928-48aa-8453-8fba30c4248d,33010f8d-9c11-4150-afc3-60eb99228c74,ENEMY
973ef202-4831-4d52-911d-b3bc7d691c48,33010f8d-9c11-4150-afc3-60eb99228c74,ENEMY
7612cca2-e740-4606-a823-a6ae7a699e22,9a664df4-1f99-4d38-9098-8a63bf322d43,ALLY
51b6a301-e57c-48fb-950b-f37e3f19ecda,9a664df4-1f99-4d38-9098-8a63bf322d43,ALLY
51b6a301-e57c-48fb-950b-f37e3f19ecda,1b7345c8-3534-4dae-86e5-44afeedbdbf7,ALLY
eadd8f5e-399a-4aad-8d6b-02eb641dea64,0f3d523c-204c-438d-ae0e-2379ad264d97,ALLY
b1fa175b-5425-4b12-9a39-e6adff1fd0a9,0f3d523c-204c-438d-ae0e-2379ad264d97,ALLY
f28d4a08-d9a0-4f6c-91c7-cc4acc346cd4,08248e9d-2917-4733-8a58-e903a4415b4e,ENEMY
51b6a301-e57c-48fb-950b-f37e3f19ecda,08248e9d-2917-4733-8a58-e903a4415b4e,ENEMY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ALLY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ALLY
682f57bc-9422-43db-9406-224cda3735fc,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ALLY
54ef7a3c-cc94-46a3-a575-b90e45ccdc31,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ALLY
7831b6c7-8184-49d1-b05d-67a741c7f75b,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ALLY
263a1e51-326b-45f7-91b4-298acbaa6291,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ALLY
c52f0d2e-c478-4307-8f71-3f6d751f6b4e,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ALLY
c4fb1921-fe8a-41dc-864b-b81f5b28e25b,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ALLY
37c44eeb-b928-48aa-8453-8fba30c4248d,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ENEMY
d96be67a-a455-45c1-bc44-d99af20b8629,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ENEMY
36d64e25-fb8b-4307-94c2-7f44b27a24e2,d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,ENEMY
6d30c907-82c7-45a7-a56b-4f091f6aa7e9,c7da34d0-bc0d-4f10-81db-9d591c236325,ALLY
246ee50b-2b04-48c4-87f4-9e6f24c0c389,c7da34d0-bc0d-4f10-81db-9d591c236325,ALLY
973ef202-4831-4d52-911d-b3bc7d691c48,10b9e651-7d30-4f96-9a86-ebe6896b466e,ALLY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,705d7d9e-ac82-48f0-a825-e2b90dac7da9,ALLY
482cf9d9-4c6b-4af2-a3b3-8fb8b8d5f39f,705d7d9e-ac82-48f0-a825-e2b90dac7da9,ALLY
90b5dc02-8256-40a5-bb89-8fd303648011,705d7d9e-ac82-48f0-a825-e2b90dac7da9,ALLY
e00d3f7f-dd3e-48f3-975d-c0f1ce7ab615,705d7d9e-ac82-48f0-a825-e2b90dac7da9,ENEMY
84e21ea4-8f4e-404b-8be2-d4742cf14100,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
69dde144-9ca7-485e-a825-cf0376c03ee1,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
4331cf46-99e2-4b5d-967d-011d9e80c326,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
54ef7a3c-cc94-46a3-a575-b90e45ccdc31,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
246ee50b-2b04-48c4-87f4-9e6f24c0c389,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
263a1e51-326b-45f7-91b4-298acbaa6291,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
973ef202-4831-4d52-911d-b3bc7d691c48,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
7612cca2-e740-4606-a823-a6ae7a699e22,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
682f57bc-9422-43db-9406-224cda3735fc,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
